dsp_goal,Start_x,Start_y,Goal_x,Goal_y
2,21.57205882352944,21.406341911764706,9.172053235294122,10.376546645220586
3,26.639983443708537,16.5932119205298,2.5687861589403975,18.93808973509934
4,26.621874999999932,16.59713541666667,6.76573716145833,25.360236545138875
5,26.632363013698562,4.091506849315072,10.321738373287674,19.050717893835618
6,26.622499999999928,4.094400000000005,15.697451166666664,18.832356833333332
7,16.36299342105268,1.395180921052635,6.679260674342104,25.371973848684206
8,16.362837837837883,1.3952027027027059,14.32217998310811,12.901405574324324
9,11.506678740458023,4.113454198473276,21.304120229007633,22.673820896946562
10,11.503888250000006,4.113055555555549,2.5728132592592594,18.825783703703696
11,8.906684027777779,8.969531249999998,14.034749565972218,12.900366406249995
13,3.9707167832167825,4.064702797202796,25.378958216783225,16.57645891608392
14,3.9670454545454543,4.069924242424242,10.34492081439394,19.136119128787872
16,1.5933724832214764,19.077516778523485,15.687176342281877,18.799402181208055
17,6.470499349999988,23.974999999999945,9.12352877,10.364321779999996
18,6.477359527972016,23.97499999999994,21.159588811188808,22.67190620629371
19,8.871783722426477,19.057031250000026,10.62479532169117,4.236730404411765
21,14.007712765957464,14.100531914893633,25.44194875886525,4.40411420212766
22,14.000705645161304,14.097983870967758,4.225286219758064,2.8689177116935487
23,16.462327586206893,19.114913793103437,10.62990029310345,4.128078629310345
24,16.460833333333326,19.108749999999993,16.654224166666665,2.641427250000001
